locate_id,Data amount,Train set Accuracy,Test set Accuracy,Test - Train
1,3583,78.75%,81.31%,2.56%
2,9518,88.95%,87.76%,-1.19%
3,7552,80.48%,79.62%,-0.87%
4,822,63.77%,63.03%,-0.74%
5,46093,95.17%,95.13%,-0.04%
6,11904,89.04%,88.03%,-1.01%
7,8994,79.14%,78.82%,-0.32%
8,10485,87.12%,87.36%,0.24%
9,7281,79.19%,79.27%,0.08%
10,15296,77.37%,76.44%,-0.93%
11,87,73.91%,94.44%,20.53%
12,18588,78.45%,77.89%,-0.56%
13,1234,76.60%,77.33%,0.73%
14,11660,78.27%,77.62%,-0.65%
15,108,90.70%,72.73%,-17.97%
16,14125,77.80%,77.49%,-0.31%
17,12405,80.48%,81.62%,1.14%
18,5871,98.02%,97.70%,-0.32%
19,913,71.10%,68.31%,-2.79%
20,25527,77.61%,78.14%,0.53%
21,16792,81.23%,80.98%,-0.25%
23,13709,81.97%,81.04%,-0.94%
25,14865,82.16%,81.40%,-0.76%
26,6576,84.58%,84.19%,-0.39%
27,16289,85.07%,84.22%,-0.85%
28,12329,87.79%,86.74%,-1.05%
29,413,98.79%,98.80%,0.01%
30,12133,78.48%,78.41%,-0.07%
32,1094,62.17%,56.62%,-5.55%
