locate_id,space_id,price,size,zipcode,open_day,close_day,open_time,close_time
1,3,200,5,106,1,7,08:30,22:00
2,31,450,10,106,1,7,08:00,22:00
2,41,250,4,106,1,7,08:00,22:00
2,51,230,3,106,1,7,08:00,22:00
3,126,330,5,106,1,7,08:00,22:00
3,127,280,4,106,1,7,08:00,22:00
3,128,220,3,106,1,7,08:00,22:00
3,129,290,5,106,1,7,08:00,22:00
3,130,380,7,106,1,7,08:00,22:00
4,168,280,3,106,1,5,18:30,22:00
4,168,280,3,106,6,7,08:00,22:00
4,169,240,3,106,1,5,18:30,22:00
4,169,240,3,106,6,7,08:00,22:00
4,170,300,4,106,1,5,18:30,22:00
4,170,300,4,106,6,7,08:00,22:00
5,90,50,10,105,1,7,07:00,23:00
5,91,50,10,105,1,7,07:00,23:00
5,92,50,10,105,1,7,07:00,23:00
5,93,50,10,105,1,7,07:00,23:00
5,94,50,10,105,1,7,07:00,23:00
5,95,50,10,105,1,7,07:00,23:00
5,96,60,10,105,1,7,07:00,23:00
5,97,60,10,105,1,7,07:00,23:00
5,98,60,10,105,1,7,07:00,23:00
5,99,80,10,105,1,7,07:00,23:00
5,100,80,10,105,1,7,07:00,23:00
5,101,120,1,105,1,7,08:00,22:30
5,102,110,1,105,1,7,08:00,22:30
5,103,12000,6,105,2,2,11:00,22:30
5,104,230,3,105,1,7,08:00,22:30
5,105,340,5,105,1,7,08:00,22:30
6,66,400,9,104,1,7,08:00,22:00
6,67,330,7,104,1,7,08:00,22:00
6,68,370,8,104,1,7,08:00,22:00
6,69,320,6,104,1,7,08:00,22:00
7,7,250,5,100,1,7,09:00,21:00
7,144,190,4,100,1,7,09:00,21:30
7,145,340,5,100,1,7,09:00,21:30
7,146,260,5,100,1,7,09:00,21:30
7,147,290,5,100,1,7,09:00,21:30
7,148,680,14,100,1,7,09:00,21:00
8,1,300,12,100,1,7,06:00,23:00
8,6,430,13,100,1,7,08:00,22:30
8,106,430,13,100,1,7,06:00,23:00
9,131,210,3,103,1,7,08:00,22:00
9,132,310,5,103,1,7,08:00,22:00
9,133,250,5,103,1,7,08:00,22:00
9,134,320,5,103,1,7,08:00,22:00
9,135,500,11,103,1,7,08:00,22:00
9,179,140,1,103,1,5,19:00,22:00
9,179,140,1,103,6,7,08:00,22:00
9,180,300,3,103,1,5,19:00,22:00
9,180,300,3,103,6,7,08:00,22:00
9,181,270,3,103,1,5,19:00,22:00
9,181,270,3,103,6,7,08:00,22:00
10,4,280,9,100,1,7,08:00,22:30
10,5,280,9,100,1,7,08:00,22:30
10,136,500,10,100,1,7,09:00,22:00
10,137,190,4,100,1,7,08:00,22:30
10,138,380,9,100,1,7,08:00,22:30
10,139,360,7,100,1,7,08:00,22:30
10,140,370,9,100,1,7,08:00,22:30
10,141,370,9,100,1,7,08:00,22:30
11,184,450,9,106,1,7,08:00,22:00
12,8,380,6,106,1,7,08:00,22:00
12,9,200,5,106,1,7,08:00,22:00
12,10,350,7,106,1,7,08:00,22:00
12,11,200,4,106,1,7,08:00,22:00
12,12,290,7,106,1,7,08:00,22:00
13,172,270,3,100,1,5,18:30,22:00
13,172,270,3,100,6,7,08:00,22:00
13,173,130,1,100,1,5,18:30,22:00
13,173,130,1,100,6,7,08:00,22:00
13,174,300,4,100,1,5,18:30,22:00
13,174,300,4,100,6,7,08:00,22:00
13,175,310,3,100,1,5,18:30,22:00
13,175,310,3,100,6,7,08:00,22:00
13,176,250,2,100,1,5,18:30,22:00
13,176,250,2,100,6,7,08:00,22:00
13,177,240,2,100,1,5,18:30,22:00
13,177,240,2,100,6,7,08:00,22:00
13,178,280,5,100,1,5,18:30,22:00
13,178,280,5,100,6,7,08:00,22:00
14,75,270,5,106,1,7,08:30,22:00
14,76,250,3,106,1,7,08:30,22:00
14,77,270,4,106,1,7,08:30,22:00
14,78,270,3,106,1,7,08:30,22:00
15,182,660,15,104,1,3,08:00,22:30
15,182,660,15,104,4,4,08:00,18:30
15,182,660,15,104,5,7,08:00,22:30
16,149,410,10,104,1,7,08:00,22:00
16,150,270,3,104,1,7,08:00,22:00
16,151,290,3,104,1,7,08:00,22:00
16,152,170,2,104,1,7,08:00,22:00
