"id","space_id","device_id","created_at","updated_at","info","sub_info"
"14149","1","0","9/8/2017 08:54:58","9/8/2017 08:54:58",,"含白板筆/板擦"
"14150","1","1","9/8/2017 08:54:58","9/8/2017 08:54:58","桌子2張","加茶几1張"
"14151","1","2","9/8/2017 08:54:58","9/8/2017 08:54:58","雙人座沙發2張",
"14152","1","3","9/8/2017 08:54:58","9/8/2017 08:54:58","椅子17張",
"14153","1","4","9/8/2017 08:54:58","9/8/2017 08:54:58",,"光世代無線網路16M/3M"
"14154","1","6","9/8/2017 08:54:58","9/8/2017 08:54:58","插座8個","皆為雙孔插座"
"14155","1","7","9/8/2017 08:54:58","9/8/2017 08:54:58","大樓共用廁所",
"14156","1","8","9/8/2017 08:54:58","9/8/2017 08:54:58",,
"14157","1","16","9/8/2017 08:54:58","9/8/2017 08:54:58",,"有陽台(禁菸)"
"14158","1","17","9/8/2017 08:54:58","9/8/2017 08:54:58",,
"14159","1","18","9/8/2017 08:54:58","9/8/2017 08:54:58",,
"14160","1","19","9/8/2017 08:54:58","9/8/2017 08:54:58",,
"16644","61","0","9/9/2017 10:53:16","9/9/2017 10:53:16",,
"16645","61","2","9/9/2017 10:53:16","9/9/2017 10:53:16",,
"16646","61","3","9/9/2017 10:53:16","9/9/2017 10:53:16",,
"16647","61","13","9/9/2017 10:53:16","9/9/2017 10:53:16",,
"16648","61","14","9/9/2017 10:53:16","9/9/2017 10:53:16",,
"20892","106","0","12/12/2017 11:48:05","12/12/2017 11:48:05",,"(180*90 cm) / 含白板筆及板擦"
"20893","106","1","12/12/2017 11:48:05","12/12/2017 11:48:05","4張桌子","(150*75)"
"20894","106","2","12/12/2017 11:48:05","12/12/2017 11:48:05","2張沙發","皆為三人座"
"20895","106","3","12/12/2017 11:48:05","12/12/2017 11:48:05","18張椅子","加高腳椅*2"
"20896","106","4","12/12/2017 11:48:05","12/12/2017 11:48:05",,"光世代無線網路100M/40M"
"20897","106","5","12/12/2017 11:48:05","12/12/2017 11:48:05",,"不限人數，建議16人"
"20898","106","6","12/12/2017 11:48:05","12/12/2017 11:48:05",,"8個雙孔"
"20899","106","7","12/12/2017 11:48:05","12/12/2017 11:48:05",,"大樓廁所"
"20900","106","8","12/12/2017 11:48:05","12/12/2017 11:48:05",,
"20901","106","9","12/12/2017 11:48:05","12/12/2017 11:48:05",,"(150*210 cm)"
"20902","106","10","12/12/2017 11:48:05","12/12/2017 11:48:05",,"BenQ 3300流明 FHD 1080p"
"20903","106","11","12/12/2017 11:48:05","12/12/2017 11:48:05",,"VGA+HDMI"
"20904","106","12","12/12/2017 11:48:05","12/12/2017 11:48:05",,
"20905","106","16","12/12/2017 11:48:05","12/12/2017 11:48:05",,
"20906","106","18","12/12/2017 11:48:05","12/12/2017 11:48:05",,
"20907","106","19","12/12/2017 11:48:05","12/12/2017 11:48:05",,"請將垃圾包好丟置垃圾區域"
"20908","108","0","12/12/2017 12:00:09","12/12/2017 12:00:09",,"180*90(cm)含白板筆/板擦"
"20909","108","1","12/12/2017 12:00:09","12/12/2017 12:00:09","4張桌子","150*75 (cm)"
"20910","108","2","12/12/2017 12:00:09","12/12/2017 12:00:09",,"三人沙發"
"20911","108","3","12/12/2017 12:00:09","12/12/2017 12:00:09","16張椅子","折疊椅4張"
"20912","108","4","12/12/2017 12:00:09","12/12/2017 12:00:09",,"光世代無線網路100M/40M"
"20913","108","5","12/12/2017 12:00:09","12/12/2017 12:00:09",,"不限人數，建議16人"
"20914","108","6","12/12/2017 12:00:09","12/12/2017 12:00:09",,"8個雙孔"
"20915","108","7","12/12/2017 12:00:09","12/12/2017 12:00:09",,"大樓共用廁所"
"20916","108","8","12/12/2017 12:00:09","12/12/2017 12:00:09",,
"20917","108","9","12/12/2017 12:00:09","12/12/2017 12:00:09","80吋投影布幕","長150*寬210cm"
"20918","108","10","12/12/2017 12:00:09","12/12/2017 12:00:09","Epson液晶投影機","EBS04/3000流明/800*600"
"20919","108","11","12/12/2017 12:00:09","12/12/2017 12:00:09",,"VGA+HDMI"
"20920","108","12","12/12/2017 12:00:09","12/12/2017 12:00:09",,
"20921","108","13","12/12/2017 12:00:09","12/12/2017 12:00:09",,
"20922","108","16","12/12/2017 12:00:09","12/12/2017 12:00:09",,
"20923","108","18","12/12/2017 12:00:09","12/12/2017 12:00:09",,
"20924","108","19","12/12/2017 12:00:09","12/12/2017 12:00:09",,"請將垃圾包好丟置垃圾區域"
"20958","109","0","12/12/2017 12:15:10","12/12/2017 12:15:10",,"180*90(cm)含白板筆/板擦"
"20959","109","1","12/12/2017 12:15:10","12/12/2017 12:15:10","4張桌子","150*75 (cm)+1張大木桌"
"20960","109","2","12/12/2017 12:15:10","12/12/2017 12:15:10",,
"20961","109","3","12/12/2017 12:15:10","12/12/2017 12:15:10","20張椅子","加四人板凳2張"
"20962","109","4","12/12/2017 12:15:10","12/12/2017 12:15:10",,"光世代無線網路100M/40M"
"20963","109","5","12/12/2017 12:15:10","12/12/2017 12:15:10",,"不限人數，建議16人"
"20964","109","6","12/12/2017 12:15:10","12/12/2017 12:15:10","插座12個","皆為雙孔插座"
"20965","109","7","12/12/2017 12:15:10","12/12/2017 12:15:10",,"大樓共用廁所"
"20966","109","8","12/12/2017 12:15:10","12/12/2017 12:15:10",,
"20967","109","9","12/12/2017 12:15:10","12/12/2017 12:15:10",,"(150*210 cm)"
"20968","109","10","12/12/2017 12:15:10","12/12/2017 12:15:10",,"EBS04/3000流明/800*600"
"20969","109","11","12/12/2017 12:15:10","12/12/2017 12:15:10",,"VGA+HDMI"
