"id","user_id","deleted_at","created_at","updated_at"
1,1,"2018-02-25 16:43:31","2018-02-23 15:13:30","2018-02-25 16:43:31"
79,1,"2019-07-25 02:21:01","2019-03-15 10:17:18","2019-07-25 02:21:01"
85,1,"2019-08-02 10:07:32","2019-07-25 14:47:06","2019-08-02 10:07:32"
86,1,NULL,"2019-08-06 14:07:03","2019-08-06 14:07:03"
78,1,"2019-03-15 03:44:08","2019-03-15 03:00:44","2019-03-15 03:44:08"
71,1,"2019-03-15 02:03:26","2018-11-25 18:42:56","2019-03-15 02:03:26"
69,1,"2018-11-19 03:29:48","2018-11-08 12:30:52","2018-11-19 03:29:48"
16,1,"2018-11-08 12:09:33","2018-04-24 15:19:32","2018-11-08 12:09:33"
12,1,"2018-04-10 11:59:34","2018-03-31 16:02:18","2018-04-10 11:59:34"
10,1,"2018-03-31 15:27:45","2018-03-08 15:53:11","2018-03-31 15:27:45"
29,2,"2018-07-26 20:16:37","2018-07-06 16:15:43","2018-07-26 20:16:37"
5,3,NULL,"2018-02-25 16:42:47","2018-02-25 16:42:47"
80,100,NULL,"2019-03-24 21:54:07","2019-03-24 21:54:07"
20,100,"2018-05-19 21:41:25","2018-05-09 13:43:01","2018-05-19 21:41:25"
77,100,"2019-03-24 19:48:11","2019-01-30 14:38:37","2019-03-24 19:48:11"
7,100,"2018-04-30 14:59:44","2018-02-25 16:43:08","2018-04-30 14:59:44"
41,177,"2018-08-30 11:00:52","2018-07-29 10:13:43","2018-08-30 11:00:52"
26,190,"2018-10-03 19:24:06","2018-07-02 16:33:09","2018-10-03 19:24:06"
19,240,NULL,"2018-05-09 13:41:56","2018-05-09 13:41:56"
15,311,"2018-05-26 14:36:48","2018-04-13 10:03:34","2018-05-26 14:36:48"
82,311,"2019-07-20 21:05:01","2019-03-29 12:09:28","2019-07-20 21:05:01"
22,311,"2018-06-26 12:16:42","2018-05-27 13:01:38","2018-06-26 12:16:42"
11,311,"2018-04-12 18:38:18","2018-03-09 15:34:27","2018-04-12 18:38:18"
32,311,"2019-03-15 02:07:40","2018-07-12 12:54:04","2019-03-15 02:07:40"
8,524,"2018-07-02 09:05:12","2018-02-25 16:43:17","2018-07-02 09:05:12"
30,524,NULL,"2018-07-06 16:16:23","2018-07-06 16:16:23"
4,552,NULL,"2018-02-25 16:42:38","2018-02-25 16:42:38"
3,798,NULL,"2018-02-25 16:42:23","2018-02-25 16:42:23"
2,1307,NULL,"2018-02-23 15:24:06","2018-02-23 15:24:06"
6,1367,NULL,"2018-02-25 16:42:58","2018-02-25 16:42:58"
46,1601,"2018-09-09 12:33:08","2018-08-08 20:37:53","2018-09-09 12:33:08"
35,2045,"2018-08-18 10:35:37","2018-07-17 11:23:56","2018-08-18 10:35:37"
52,2045,"2018-10-21 09:57:03","2018-08-20 09:32:51","2018-10-21 09:57:03"
9,2899,NULL,"2018-02-25 16:43:25","2018-02-25 16:43:25"
47,3483,"2018-10-11 09:14:44","2018-08-09 09:00:06","2018-10-11 09:14:44"
39,4504,"2018-08-27 10:31:50","2018-07-27 09:01:02","2018-08-27 10:31:50"
24,4504,"2018-07-16 09:39:45","2018-06-15 11:40:02","2018-07-16 09:39:45"
54,4504,"2018-10-01 08:05:46","2018-08-29 14:06:53","2018-10-01 08:05:46"
18,4983,"2018-07-02 09:05:55","2018-05-01 22:03:31","2018-07-02 09:05:55"
53,4983,"2018-11-01 17:03:09","2018-08-28 17:24:45","2018-11-01 17:03:09"
17,5335,"2018-10-16 20:14:09","2018-04-30 17:53:43","2018-10-16 20:14:09"
76,5384,"2019-03-15 03:43:53","2019-01-30 14:32:52","2019-03-15 03:43:53"
13,5384,"2018-10-09 09:34:53","2018-04-01 18:10:47","2018-10-09 09:34:53"
27,5542,"2018-10-04 09:35:40","2018-07-03 17:49:18","2018-10-04 09:35:40"
14,6027,NULL,"2018-04-09 15:51:53","2018-04-09 15:51:53"
31,6925,"2018-10-16 23:57:55","2018-07-12 11:33:29","2018-10-16 23:57:55"
21,6925,"2018-07-09 09:49:03","2018-05-09 13:58:47","2018-07-09 09:49:03"
48,7382,"2018-10-11 09:15:17","2018-08-10 09:23:36","2018-10-11 09:15:17"
