"id","pickone_no","created_at","updated_at","title","thumb","people","price","enabled","size","zipcode","county","district","address","address_info","brief","use_info","device_info","floor_plan","sort","lat","lng"
"1","1236","8/2/2017 21:43:04","23/4/2019 01:20:42","北車 A","//i.imgur.com/ItskunA.jpg","17","300","0","12","100","臺北市","中正區","忠孝西路一段7號8樓之4","緊鄰台北車站、捷運台北車站M7出口步行一分鐘，忠孝東路及中山北路口。近台大醫院、監察院、多條路線公車。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧",,"0","25.0460064","121.5191759"
"2","1277","8/2/2017 21:43:04","8/2/2017 21:43:04","敦南小樹屋","img/location-04.jpg","0","9","0","0",,,,,,,,,,"0",,
"3","1284","8/2/2017 21:43:04","15/11/2019 23:17:43","大安","//i.imgur.com/3h1CvKK.jpg","6","200","1","5","106","臺北市","大安區","東豐街66號3樓307室","於東豐街跟大安路口，距離大安站步行約8~10分鐘，公車坐到仁愛敦化路口，近仁愛圓環！（場地位於舊式公寓中，夜間大門將上鎖，通行方式請參閱信件說明）","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","嚴禁逗留公共區域、大聲喧嘩、進行大型派對活動，若影響到住戶安寧，恐觸犯《噪音管制法》、《社會秩序維護法》。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/GkQ6gyd.png","84","25.0359153","121.5478601"
"4","1459","8/2/2017 21:43:04","23/4/2019 01:20:44","古亭 A","https://i.imgur.com/p3Xizj2.jpg","8","280","0","9","100","臺北市","中正區","羅斯福路二段70號11樓之4 Ａ室","交通方便，位處於羅斯福路與和平東路口，距離古亭捷運站7號出口步行1分鐘即可以抵達，樓下是Tutor ABC，近台師大，文教氣息濃厚。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。《因將進行空間調整，將不開放12/11之後的訂單》","※本空間與古亭B以輕隔間相鄰，不適合需要極安靜的活動。","場地無提供且「禁止」使用麥克風及擴音設備，以維護鄰居環境安寧。","https://i.imgur.com/XweLvlT.png","0","25.0272797","121.5220325"
"5","1460","8/2/2017 21:43:04","23/4/2019 01:20:45","古亭 B","https://i.imgur.com/yNqjWI2.jpg","8","280","0","9","100","臺北市","中正區","羅斯福路二段70號11樓之4 B室","交通方便，位處於羅斯福路與和平東路口，距離古亭捷運站7號出口步行1分鐘即可以抵達，樓下是Tutor ABC，近台師大，文教氣息濃厚。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。《因將進行空間調整，將不開放12/11之後的訂單》","※本空間與古亭A以輕隔間相鄰，不適合需要極安靜的活動。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/3ttCsOk.png","0","25.0272797","121.5220325"
"6","1473","8/2/2017 21:43:04","15/11/2019 23:17:43","北車 B","https://i.imgur.com/vqVcRMh.jpg","16","430","1","13","100","臺北市","中正區","忠孝西路一段7號9樓900室","緊鄰台北車站、捷運台北車站M7出口步行一分鐘，忠孝東路及中山北路口。近台大醫院、監察院、多條路線公車。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。","https://i.imgur.com/kiPoG0X.png","86","25.0460064","121.5191759"
"7","1527","8/2/2017 21:43:04","15/11/2019 23:17:43","中正紀念堂 412","https://i.imgur.com/ruFJNDr.jpg","6","250","1","5","100","臺北市","中正區","寧波東街1號4樓12室","交通方便，緊鄰中正紀念堂、捷運中正紀念堂站3號出口步行一分鐘，羅斯福路與寧波東街口。近中央銀行、中正紀念堂，有多條路線公車。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","《為配合本大樓進出管理，所有訪客需代表簽名及寄押證件以領取場地證》","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。","https://i.imgur.com/G5kWDaS.png","85","25.0318808","121.5193721"
"8","1598","8/2/2017 21:43:04","15/11/2019 23:17:43","古亭和平 301","https://i.imgur.com/ZcQoxLn.jpg","12","380","1","6","106","臺北市","大安區","和平東路一段8號3樓-301室","交通方便，位處於羅斯福路與和平東路口，距離古亭捷運站4號出口步行1分鐘即可以抵達，樓下是星巴克，近台師大，文教氣息濃厚。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/UkAmFyG.png","87","25.0267416","121.5232174"
"9","1599","8/2/2017 21:43:04","15/11/2019 23:17:43","古亭和平 302","https://i.imgur.com/dOy3rOJ.jpg","4","200","1","5","106","臺北市","大安區","和平東路一段8號3樓-302室","交通方便，位處於羅斯福路與和平東路口，距離古亭捷運站4號出口步行1分鐘即可以抵達，樓下是星巴克，近台師大，文教氣息濃厚。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/P5nKo1k.png","88","25.0267416","121.5232174"
"10","1600","8/2/2017 21:43:04","15/11/2019 23:17:43","古亭和平 303","https://i.imgur.com/pIJ57Xz.jpg","12","350","1","7","106","臺北市","大安區","和平東路一段8號3樓-303室","交通方便，位處於羅斯福路與和平東路口，距離古亭捷運站4號出口步行1分鐘即可以抵達，樓下是星巴克，近台師大，文教氣息濃厚。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/6UVMeTj.png","89","25.0267416","121.5232174"
"11","1601","8/2/2017 21:43:04","15/11/2019 23:17:43","古亭和平 304","https://i.imgur.com/D5Aaxvh.jpg","4","200","1","4","106","臺北市","大安區","和平東路一段8號3樓-304室","交通方便，位處於羅斯福路與和平東路口，距離古亭捷運站4號出口步行1分鐘即可以抵達，樓下是星巴克，近台師大，文教氣息濃厚。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/pazkhNR.png","90","25.0267416","121.5232174"
"12","1602","8/2/2017 21:43:04","15/11/2019 23:17:43","古亭和平 305","//i.imgur.com/EN4ZC7y.jpg","10","290","1","7","106","臺北市","大安區","和平東路一段8號3樓-305室","交通方便，位處於羅斯福路與和平東路口，距離古亭捷運站4號出口步行1分鐘即可以抵達，樓下是星巴克，近台師大，文教氣息濃厚。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧","https://i.imgur.com/YrQ1ttZ.png","91","25.0267416","121.5232174"
"13","1726","23/3/2017 12:58:57","23/4/2019 01:20:53","忠孝復興 201(含投影)","//i.imgur.com/IkT0EH2.jpg","24","530","0","11","106","臺北市","大安區","忠孝東路三段204號2樓-201室","捷運忠孝復興站2號出口步行5分鐘，住商不動產旁，204號入口進入。在忠孝東路上，有多班公車可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","1.為維護社區安全，每日18:00後及假日，一樓大門須保持關閉、請勿逗留，若有活動舉辦，請派人至一樓幫忙開門。
2.週三、日18:00以後，請至隔壁住商不動產拿鑰匙。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧",,"0","25.0414199","121.539546"
"14","1730","23/3/2017 12:58:57","23/4/2019 01:20:54","忠孝復興 202(含投影)","//i.imgur.com/qbeL3Zs.jpg","19","550","0","12","106","臺北市","大安區","忠孝東路三段204號2樓-202室","捷運忠孝復興站2號出口步行5分鐘，住商不動產旁，204號入口進入。在忠孝東路上，有多班公車可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","為維護社區安全，每日18:00後及假日，一樓大門須保持關閉，若有活動舉辦，請派人至一樓幫忙開門。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。",,"0","25.0414199","121.539546"
"15","1840","3/5/2017 06:45:27","15/11/2019 23:17:43","南京復興 A","https://i.imgur.com/C6VCtkS.jpg","16","460","1","12","104","臺北市","中山區","南京東路三段200號5樓507室-A","捷運南京復興站3號出口步行1分鐘，台建大樓，200號入口進入。在南京東路上，有多班公車可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","由於隔壁旅行社常年使用薰香，公共區域味道較重，若對味道較敏感者建議改選擇其他空間租借。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。","https://i.imgur.com/xc6xeFf.png","92","25.0516787","121.5430588"
"16","1839","3/5/2017 06:45:27","15/11/2019 23:17:43","南京復興 B","https://i.imgur.com/Th6fJbq.jpg","12","450","1","12","104","臺北市","中山區","南京東路三段200號5樓507室-B","捷運南京復興站3號出口步行1分鐘，台建大樓，200號入口進入。在南京東路上，有多班公車可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。","由於隔壁旅行社常年使用薰香，公共區域味道較重，若對味道較敏感者建議改選擇其他空間租借。","場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。","https://i.imgur.com/wYCckER.png","93","25.0516787","121.5430588"
"17","1920","5/6/2017 08:42:30","15/11/2019 23:17:43","科技大樓 601","//i.imgur.com/P2p2TNf.jpg","14","460","1","8","106","臺北市","大安區","復興南路二段200號6樓-601室","捷運科技大樓出口步行2分鐘，面對飲料店斜角巷右側200號入口進入。在復興南路上，有多班公車可抵達。","Treerful小樹屋 是以時計價的出租空間，在各地提供自助式的場地。親民的價格、有質感的空間，它是您舒適的教室、會議室、讀書會、聚會場地。(10/28 將進行整體改裝，暫不開放租借)",,"場地無提供且「禁止」使用麥克風及擴音設備，以維繫鄰居環境安寧。(10/28 將進行整體改裝，暫不開放租借)","https://i.imgur.com/Caf1FRj.png","98","25.0268351","121.5432387"
