space_id,price,size,zipcode
1,300,12,100
3,200,5,106
4,280,9,100
5,280,9,100
6,430,13,100
7,250,5,100
8,380,6,106
9,200,5,106
10,350,7,106
11,200,4,106
12,290,7,106
13,530,11,106
14,550,12,106
15,460,12,104
16,450,12,104
17,460,8,106
18,350,6,106
19,360,6,106
20,220,3,106
21,360,6,106
22,460,10,104
23,120,1,104
24,350,5,104
25,450,9,104
31,450,10,106
41,250,4,106
51,230,3,106
62,380,5,105
63,320,6,105
64,370,8,105
65,350,7,105
66,400,9,104
67,330,7,104
68,370,8,104
69,320,6,104
70,240,4,105
71,370,6,105
72,230,4,105
73,300,6,105
74,350,6,105
75,270,5,106
76,250,3,106
77,270,4,106
78,270,3,106
79,400,8,104
80,270,5,104
81,270,7,104
82,330,7,104
83,280,5,104
84,200,3,104
85,450,10,106
86,330,8,106
87,360,7,106
88,260,3,110
89,130,1,106
90,50,10,105
91,50,10,105
92,50,10,105
93,50,10,105
94,50,10,105
95,50,10,105
96,60,10,105
97,60,10,105
98,60,10,105
99,80,10,105
100,80,10,105
101,120,1,105
102,110,1,105
103,12000,6,105
104,230,3,105
105,340,5,105
106,430,13,100
107,550,12,106
108,460,12,104
109,400,12,104
110,260,6,106
111,400,6,106
112,140,2,106
113,380,7,106
114,340,5,106
115,180,2,106
116,150,2,106
117,160,2,106
118,150,1,106
119,140,2,106
121,500,10,106
122,440,10,106
123,360,9,106
124,410,9,106
125,510,10,106
126,330,5,106
127,280,4,106
128,220,3,106
129,290,5,106
130,380,7,106
131,210,3,103
132,310,5,103
133,250,5,103
134,320,5,103
135,500,11,103
136,500,10,100
137,190,4,100
138,380,9,100
139,360,7,100
140,370,9,100
141,370,9,100
142,600,20,106
143,500,8,106
144,190,4,100
145,340,5,100
146,260,5,100
147,290,5,100
148,680,14,100
149,410,10,104
150,270,3,104
151,290,3,104
152,170,2,104
153,290,5,104
154,230,3,104
155,260,3,104
156,160,2,104
157,330,5,104
158,260,4,104
159,150,2,104
160,330,4,104
161,250,4,104
162,570,15,104
163,300,4,104
164,270,4,104
165,280,4,104
166,370,4,114
167,420,4,114
168,280,3,106
169,240,3,106
170,300,4,106
171,800,19,106
172,270,3,100
173,130,1,100
174,300,4,100
175,310,3,100
176,250,2,100
177,240,2,100
178,280,5,100
179,140,1,103
180,300,3,103
181,270,3,103
182,660,15,104
183,450,10,116
184,450,9,106
185,900,25,105
186,660,14,105
187,700,22,105
