id,order_id,space_id,score,can,comment,created_at,updated_at,activity,is_pay,people
1,1643,51,10,1,願意,22OCT17:01:05:51,22OCT17:01:05:51,,,
2,2592,5,8,0,"昨天使用場地時古亭A很吵，上課會被影響到，不過還是很愛小樹啦! ....這期課程我們還有訂兩天: 10/27, 11/3 週五晚上7-9pm，想請問古亭A還是同一組人馬嗎? 是的話我們會再另外安排場地，謝謝!",22OCT17:09:30:07,22OCT17:09:30:07,,,
3,133,69,6,0,使用期間，隔壁403室的活動似乎在使用麥克風擴音設備，聲音影響到使用期間的空間安寧，有些美中不足。,22OCT17:14:16:44,22OCT17:14:16:44,,,
4,3535,69,9,0,使用期間，發現桌子有一點點的油漬，似乎是之前使用者飲食之後留下的，雖然面積不大可以自行清理，但還是會希望使用空間時桌椅都是乾淨的。此次的使用經驗算是讓人感到很開心的，謝謝小樹屋團隊 :),22OCT17:14:19:36,22OCT17:14:19:36,,,
5,3167,12,5,0,冷氣感覺不夠強，尤其是人多的時候有點熱。,22OCT17:21:21:53,22OCT17:21:21:53,,,
6,5232,84,8,1,,26OCT17:15:41:39,26OCT17:15:41:39,,,
7,4493,64,8,1,沒提供面紙等，是屬不便的重要點。,26OCT17:16:40:24,26OCT17:16:40:24,,,
8,1975,11,9,1,讚！小樹屋的訂房流程真的很方便，太讚了！....不過當天用這一間時，覺得外圍空間有一點點亂（只有一點點），還有來賓問我為什麼廁所有淋浴間，感覺有點奇怪。XDDD....另外，個人覺得活動前五分鐘給密碼，真的有點短，可否延長為十分鐘？雖然知道可以自己多預定半小時提前開門，但我的活動確實不太需要多半小時，有點浪費，十分鐘即可。價錢上多收一點無妨，但希望可以十分鐘前發開門密碼。....謝謝！,27OCT17:16:47:08,27OCT17:16:47:08,,,
9,5336,74,10,1,,28OCT17:14:51:58,28OCT17:14:51:58,,,
10,4754,67,10,0,,28OCT17:20:21:26,28OCT17:20:21:26,,,
11,1640,7,10,0,,28OCT17:20:21:34,28OCT17:20:21:34,,,
12,2037,65,10,1,很棒，來賓都很喜歡這個場地。還有人臨走前特別拍照，說以後辦活動要在這裡辦！不過我發現，小樹屋的照片拍起來看起來都很大，但實際上到了現場，感覺比照片裡小了大概有30%左右，只能說攝影師的功力真的很強啊！,28OCT17:23:04:54,28OCT17:23:04:54,,,
13,4546,70,7,1,蠻推薦的，但就是希望可以增設飲水機,28OCT17:23:21:11,28OCT17:23:21:11,,,
14,5404,79,9,1,很漂亮很舒適的環境，但就是希望可以增設飲水機,28OCT17:23:21:34,28OCT17:23:21:34,,,
15,2466,12,8,1,,30OCT17:10:11:25,30OCT17:10:11:25,,,
16,3848,24,10,1,,30OCT17:14:10:08,30OCT17:14:10:08,,,
17,4538,69,5,1,希望有折疊按摩床可使用,01NOV17:17:20:32,01NOV17:17:20:32,,,
