"id","space_id","device_info_id","created_at","updated_at"
"801","97","2","18/4/2018 12:12:50","18/4/2018 12:12:50"
"802","97","5","18/4/2018 12:12:50","18/4/2018 12:12:50"
"803","97","6","18/4/2018 12:12:50","18/4/2018 12:12:50"
"804","97","14","18/4/2018 12:12:50","18/4/2018 12:12:50"
"961","91","2","18/4/2018 14:46:09","18/4/2018 14:46:09"
"962","91","5","18/4/2018 14:46:09","18/4/2018 14:46:09"
"963","91","6","18/4/2018 14:46:09","18/4/2018 14:46:09"
"964","91","14","18/4/2018 14:46:09","18/4/2018 14:46:09"
"965","92","2","18/4/2018 14:46:10","18/4/2018 14:46:10"
"966","92","5","18/4/2018 14:46:10","18/4/2018 14:46:10"
"967","92","6","18/4/2018 14:46:10","18/4/2018 14:46:10"
"968","92","14","18/4/2018 14:46:10","18/4/2018 14:46:10"
"969","93","2","18/4/2018 14:46:12","18/4/2018 14:46:12"
"970","93","5","18/4/2018 14:46:12","18/4/2018 14:46:12"
"971","93","6","18/4/2018 14:46:12","18/4/2018 14:46:12"
"972","93","14","18/4/2018 14:46:12","18/4/2018 14:46:12"
"973","94","2","18/4/2018 14:46:13","18/4/2018 14:46:13"
"974","94","5","18/4/2018 14:46:13","18/4/2018 14:46:13"
"975","94","6","18/4/2018 14:46:13","18/4/2018 14:46:13"
"976","94","14","18/4/2018 14:46:13","18/4/2018 14:46:13"
"977","95","2","18/4/2018 14:46:15","18/4/2018 14:46:15"
"978","95","5","18/4/2018 14:46:15","18/4/2018 14:46:15"
"979","95","6","18/4/2018 14:46:15","18/4/2018 14:46:15"
"980","95","14","18/4/2018 14:46:15","18/4/2018 14:46:15"
"981","96","2","18/4/2018 14:46:16","18/4/2018 14:46:16"
"982","96","5","18/4/2018 14:46:16","18/4/2018 14:46:16"
"983","96","6","18/4/2018 14:46:16","18/4/2018 14:46:16"
"984","96","14","18/4/2018 14:46:16","18/4/2018 14:46:16"
"985","98","2","18/4/2018 14:46:18","18/4/2018 14:46:18"
"986","98","5","18/4/2018 14:46:18","18/4/2018 14:46:18"
"987","98","6","18/4/2018 14:46:18","18/4/2018 14:46:18"
"988","98","14","18/4/2018 14:46:18","18/4/2018 14:46:18"
"989","99","2","18/4/2018 14:46:23","18/4/2018 14:46:23"
"990","99","5","18/4/2018 14:46:23","18/4/2018 14:46:23"
"991","99","6","18/4/2018 14:46:23","18/4/2018 14:46:23"
"992","99","14","18/4/2018 14:46:23","18/4/2018 14:46:23"
"993","100","2","18/4/2018 14:46:25","18/4/2018 14:46:25"
"994","100","5","18/4/2018 14:46:25","18/4/2018 14:46:25"
"995","100","6","18/4/2018 14:46:25","18/4/2018 14:46:25"
"996","100","14","18/4/2018 14:46:25","18/4/2018 14:46:25"
"1009","90","2","18/4/2018 14:46:35","18/4/2018 14:46:35"
"1010","90","5","18/4/2018 14:46:35","18/4/2018 14:46:35"
"1011","90","6","18/4/2018 14:46:35","18/4/2018 14:46:35"
"1012","90","14","18/4/2018 14:46:35","18/4/2018 14:46:35"
"1226","4","2","18/9/2018 19:06:04","18/9/2018 19:06:04"
"1227","4","14","18/9/2018 19:06:04","18/9/2018 19:06:04"
"1228","4","15","18/9/2018 19:06:04","18/9/2018 19:06:04"
"1229","5","2","18/9/2018 19:06:10","18/9/2018 19:06:10"
"1230","5","14","18/9/2018 19:06:10","18/9/2018 19:06:10"
"1231","5","15","18/9/2018 19:06:10","18/9/2018 19:06:10"
"1232","6","2","18/9/2018 19:06:12","18/9/2018 19:06:12"
"1233","6","9","18/9/2018 19:06:12","18/9/2018 19:06:12"
"1234","6","14","18/9/2018 19:06:12","18/9/2018 19:06:12"
"1235","6","15","18/9/2018 19:06:12","18/9/2018 19:06:12"
"1236","7","2","18/9/2018 19:06:15","18/9/2018 19:06:15"
"1237","7","14","18/9/2018 19:06:15","18/9/2018 19:06:15"
"1238","7","15","18/9/2018 19:06:15","18/9/2018 19:06:15"
"1239","8","2","18/9/2018 19:06:19","18/9/2018 19:06:19"
"1240","8","10","18/9/2018 19:06:19","18/9/2018 19:06:19"
"1241","8","14","18/9/2018 19:06:19","18/9/2018 19:06:19"
"1242","8","15","18/9/2018 19:06:19","18/9/2018 19:06:19"
"1243","9","2","18/9/2018 19:06:22","18/9/2018 19:06:22"
"1244","9","14","18/9/2018 19:06:22","18/9/2018 19:06:22"
"1245","9","15","18/9/2018 19:06:22","18/9/2018 19:06:22"
"1246","10","2","18/9/2018 19:06:25","18/9/2018 19:06:25"
"1247","10","10","18/9/2018 19:06:25","18/9/2018 19:06:25"
